Q33,Q33A1,Q33A2,Q33A3,Q32,Q50,Q58A1,Q58A2,D_SIZE,D_IND,D_INDSIZE,WT,year
1,0,0,1,2,2,5,3,3,4,43,92.89148324,2019
1,0,1,0,2,2,3,2,3,9,93,53.49760425,2019
1,0,0,1,2,2,5,4,3,1,13,5.608323795,2019
2, , , ,2,3,3,3,2,4,42,519.7989552,2019
2, , , ,2,2,4,2,3,3,33,164.4916288,2019
2, , , ,2,2,3,2,2,11,112,51.50300768,2019
2, , , ,2,2,4,4,2,5,52,62.64328363,2019
2, , , ,2,1,5,5,5,5,55,2.172723391,2019
2, , , ,2,3,3,3,1,6,61,2245.318628,2019
2, , , ,2,2,4,4,3,3,33,164.4916288,2019
2, , , ,2,2,5,4,4,13,134,51.20634937,2019
2, , , ,2,2,3,3,3,13,133,274.8609412,2019
2, , , ,2,2,5,5,2,4,42,527.5420551,2019
2, , , ,2,2,3,3,3,2,23,86.40830809,2019
2, , , ,2,3,5,4,1,11,111,242.1031732,2019
2, , , ,2,2,4,1,4,11,114,13.34723845,2019
2, , , ,2,3,5,5,3,13,133,166.0658299,2019
2, , , , ,3,2,2,1,2,21,205.587279,2019
2, , , ,2,3,1,1,1,13,131,1385.128449,2019
2, , , ,2,2,5,5,1,13,131,1300.988432,2019
2, , , ,2,2,5,3,2,2,22,101.9276186,2019
2, , , ,2,2,1,1,1,10,101,217.4714093,2019
2, , , , ,3,4,4,1,8,81,96.72930855,2019
2, , , ,2,2,4,3,3,10,103,83.21267339,2019
2, , , ,2,3,5,3,3,6,63,50.09977483,2019
2, , , ,2,3,4,4,2,12,122,132.4093137,2019
2, , , ,2,3,1,1,3,3,33,164.4916288,2019
1,1,0,0,2,1,5,3,4,6,64,4.372358325,2019
2, , , ,2,2,4,5,3,8,83,78.06173436,2019
1,0,1,0,2,2,5,4,2,2,22,64.10978018,2019
1,0,1,0,2,2,4,3,3,13,133,165.8155062,2019
2, , , ,2,2,5,4,1,2,21,185.2078228,2019
2, , , ,2,2,3,3,2,1,12,9.948814145,2019
2, , , ,2,2,4,3,3,7,73,30.5063084,2019
2, , , , ,2,3,3,1,7,71,115.8748258,2019
2, , , ,2,3,4,3,2,10,102,132.3370519,2019
2, , , , ,3,1,1,1,4,41,3854.803181,2019
2, , , ,2,2,2,2,4,5,54,9.20738084,2019
2, , , ,2,3,3,3,4,3,34,18.02878728,2019
2, , , ,2,3,3,5,3,1,13,5.526006545,2019
1,1,0,0,2,2,5,5,5,2,25,2.5603677,2019
2, , , ,2,2,5,5,3,1,13,5.526006545,2019
2, , , ,2,3,4,4,1,2,21,208.6497762,2019
2, , , ,2,2,3,2,2,5,52,57.27423364,2019
1,0,0,1,2,3,4,3,5,6,65,1.286838876,2019
2, , , ,2,2,3,3,4,13,134,50.45475833,2019
1,0,1,0,2,2,3,3,2,8,82,50.957205,2019
1,1,1,1,2,2,4,2,5,13,135,5.26623126,2019
1,0,1,0,2,2,3,3,4,13,134,51.28365312,2019
2, , , ,2,2,5,5,2,2,22,101.9276186,2019
2, , , ,2,3,5,5,3,3,33,164.4916288,2019
2, , , ,2,2,3,3,3,5,53,50.68268984,2019
2, , , ,2,2,4,4,2,7,72,53.61467763,2019
2, , , ,2,2,2,2,4,2,24,25.80794009,2019
1,0,0,1,2,3,3,1,3,1,13,5.526006545,2019
2, , , ,2,2,4,3,3,6,63,80.83976615,2019
2, , , ,2,2,3,3,3,13,133,168.2855497,2019
2, , , ,2,2,5,4,4,4,44,14.76374969,2019
2, , , ,2,2,4,4,1,1,11,12.83634092,2019
1,1,0,0,2,1,5,3,2,8,82,82.22329442,2019
1,0,0,1,2,2,4,3,3,1,13,5.608323795,2019
2, , , ,2,3,3,3,1,4,41,3854.803181,2019
2, , , ,2,3,4,4,2,13,132,400.2307378,2019
1,0,1,0,3,2,3,3,5,13,135,5.274181435,2019
1,1,0,0,2,1,5,5,4,1,14,1.414929159,2019
2, , , ,2,2,5,4,3,1,13,8.785752908,2019
1,1,0,1,2,3,4,4,5,1,15,0.813044892,2019
1,1,0,0,2,3,4,3,5,13,135,1.219655601,2019
1,0,0,1,2,2,5,4,5,13,135,5.274181435,2019
1,0,0,1,2,2,3,3,3,2,23,77.84282513,2019
2, , , ,2,2,4,3,4,12,124,5.761180801,2019
1,0,1,0,2,2,5,4,3,4,43,92.89148324,2019
1,0,0,1,2,2,5,5,2,6,62,492.4840234,2019
1,0,1,0,2,2,5,5,2,7,72,33.77312505,2019
1,0,0,1,2,3,4,3,3,1,13,5.526006545,2019
1,0,1,0,2,2,2,3,1,9,91,796.9132725,2019
1,1,0,0,2,2,4,4,1,1,11,12.64793306,2019
1,0,0,1,2,2,3,3,3,1,13,5.526006545,2019
1,1,1,1,2,2,4,5,4,13,134,51.28365312,2019
2, , , ,2,2,4,4,1,6,61,2245.318628,2019
2, , , ,2,3,4,3,1,9,91,796.9132725,2019
1,1,0,0,2,2,4,3,5,13,135,5.26623126,2019
2, , , ,2,2,3,3,4,1,14,2.216565668,2019
2, , , ,2,3,4,3,1,6,61,2175.127,2019
2, , , ,2,3,3,1,5,3,35,3.360496596,2019
2, , , ,2,3,3,3,4,8,84,7.823853039,2019
2, , , , ,3,3,3,1,2,21,205.587279,2019
2, , , ,2,3,3,1,3,4,43,161.5320539,2019
1,1,0,0,2,2,2,1,1,9,91,748.5045522,2019
2, , , ,2,3,3,3,2,2,22,101.9276186,2019
1,0,1,0,2,3,3,3,3,9,93,52.71238289,2019
1,1,0,0,2,3,5,5,4,8,84,7.823853039,2019
1,0,1,0,2,3,1,1,1,6,61,2175.127,2019
2, , , ,2,3,2,2,1,6,61,2175.127,2019
2, , , ,2,3,5,3,2,10,102,132.3370519,2019
2, , , ,2,3,3,3,4,5,54,14.85680358,2019
1,0,1,0,2,2,2,3,1,9,91,717.9168519,2019
2, , , , ,3,3,3,2,1,12,6.257541346,2019
2, , , , ,3,3,3,1,6,61,2212.362532,2019
1,0,0,1,2,2,5,5,4,9,94,2.416554585,2019
1,0,1,0,2,2,3,3,5,13,135,5.274181435,2019
2, , , ,2,2,1,1,3,10,103,74.96396732,2019
2, , , ,2,2,3,2,4,6,64,4.853473452,2019
2, , , ,2,2,4,3,2,2,22,101.9276186,2019
2, , , ,2,2,3,3,3,12,123,50.28405141,2019
1,0,1,0,2,2,3,3,1,7,71,181.2507701,2019
2, , , ,2,3,4,4,1,1,11,20.96560729,2019
2, , , ,2,2,4,4,3,1,13,8.916628435,2019
2, , , ,2,3,3,3,2,2,22,103.4459667,2019
1,1,0,1,2,2,5,5,4,8,84,12.43908038,2019
2, , , ,2,2,5,5,3,12,123,88.74313442,2019
1,1,0,1,2,2,5,5,2,2,22,101.9276186,2019
2, , , ,2,2,4,4,2,13,132,227.1229792,2019
2, , , ,2,1,3,3,3,2,23,77.84282513,2019
2, , , ,2,2,3,2,4,6,64,2.713823573,2019
2, , , ,2,3,4,3,3,9,93,54.95825658,2019
2, , , ,2,2,3,3,3,1,13,8.785752908,2019
2, , , ,2,3,4,3,2,1,12,10.31152317,2019
2, , , ,2,3,4,3,2,1,12,11.44615794,2019
2, , , ,2,2,4,3,2,10,102,134.3083891,2019
2, , , ,2,3,3,3,2,12,122,126.2186716,2019
2, , , ,2,3,3,3,3,3,33,164.4916288,2019
2, , , ,2,3,3,3,3,11,113,45.53979069,2019
1,1,0,0,2,2,5,5,5,8,85,1.341139191,2019
1,0,1,0,2,2,2,4,1,1,11,12.26452439,2019
2, , , ,2,2,4,4,1,7,71,183.9507425,2019
2, , , ,2,2,4,4,3,6,63,89.73501935,2019
2, , , ,2,3,4,3,1,6,61,2212.362532,2019
2, , , ,2,2,4,4,2,2,22,101.9276186,2019
2, , , ,2,2,3,3,3,1,13,8.785752908,2019
2, , , ,2,2,3,2,2,1,12,9.948814145,2019
2, , , ,2,2,4,3,1,1,11,12.26452439,2019
2, , , ,2,2,5,5,3,13,133,168.2855497,2019
1,1,0,0,3,1,4,5,5,8,85,1.341139191,2019
2, , , ,2,3,2,2,1,2,21,205.587279,2019
2, , , ,2,3,4,3,1,6,61,2175.127,2019
1,0,1,0,2,2,4,4,1,1,11,21.64488155,2019
2, , , ,2,2,1,1,1,4,41,3854.803181,2019
2, , , ,2,3,3,3,1,1,11,19.49926769,2019
2, , , ,2,3,4,4,3,2,23,77.84282513,2019
2, , , , ,3,1,1,1,2,21,205.587279,2019
2, , , ,2,2,2,3,1,1,11,12.26452439,2019
2, , , ,2,2,2,3,4,10,104,14.9324481,2019
2, , , ,2,2,5,5,4,4,44,8.242718844,2019
2, , , ,2,2,5,3,4,2,24,16.47431768,2019
2, , , ,2,2,2,2,1,1,11,21.64488155,2019
2, , , ,2,2,4,4,2,1,12,6.485675744,2019
2, , , ,2,2,4,4,2,1,12,10.31152317,2019
2, , , ,2,3,4,3,2,1,12,10.31152317,2019
2, , , ,2,2,4,4,2,1,12,10.31152317,2019
2, , , ,2,3,2,3,1,1,11,14.40229302,2019
1,1,0,0,2,2,4,4,4,1,14,2.216565668,2019
2, , , ,2,2,3,3,2,7,72,34.27622086,2019
2, , , ,2,2,4,5,2,8,82,51.71628064,2019
2, , , ,2,2,5,2,2,11,112,51.50300768,2019
2, , , ,2,3,3,3,1,11,111,245.7096234,2019
2, , , ,2,2,3,3,1,2,21,208.6497762,2019
1,1,0,0,2,2,4,4,5,13,135,5.274181435,2019
2, , , , ,3,3,1,1,13,131,1364.79796,2019
2, , , , ,3,2,1,1,2,21,205.587279,2019
2, , , ,2,3,3,3,1,2,21,205.587279,2019
2, , , ,2,2,5,4,3,12,123,83.35240782,2019
2, , , ,2,2,1,3,4,6,64,4.308182196,2019
1,1,0,0,2,2,5,5,4,6,64,4.308182196,2019
2, , , ,2,2,4,4,1,1,11,20.10884601,2019
2, , , ,2,2,4,4,3,2,23,79.00239801,2019
2, , , ,2,2,3,3,4,5,54,14.85680358,2019
2, , , ,3,2,5,5,3,7,73,30.5523623,2019
1,0,1,0,4,2,4,3,5,6,65,2,2019
1,0,1,0,2,2,4,3,5,6,65,1.286838876,2019
1,1,0,0,2,2,5,3,3,13,133,168.5396023,2019
2, , , ,2,2,3,3,3,1,13,5.608323795,2019
1,1,0,1,2,2,4,4,5,13,135,1.93912053,2019
2, , , ,2,3,4,4,2,3,32,195.5838,2019
2, , , ,2,3,3,3,3,1,13,8.785752908,2019
2, , , ,2,2,3,3,3,3,33,162.0772713,2019
1,0,0,1,3,2,4,4,2,8,82,50.957205,2019
2, , , ,2,2,4,3,2,8,82,82.22329442,2019
2, , , ,2,3,3,3,4,11,114,13.34723845,2019
1,0,0,1,2,2,5,5,3,12,123,79.94620479,2019
2, , , ,2,3,4,2,3,12,123,88.74313442,2019
1,1,0,0,2,3,3,3,4,8,84,12.6243771,2019
2, , , , ,3,3,3,1,2,21,208.6497762,2019
2, , , ,2,3,3,3,4,1,14,1.394161265,2019
2, , , ,2,3,4,4,1,10,101,383.801503,2019
2, , , ,2,2,5,3,1,13,131,1281.892925,2019
2, , , ,2,2,5,5,1,11,111,242.1031732,2019
1,0,1,0,2,2,4,4,5,6,65,1.30600806,2019
2, , , ,2,3,3,3,3,6,63,89.73501935,2019
2, , , ,2,3,1,1,3,2,23,77.84282513,2019
2, , , ,2,3,5,5,3,6,63,88.41791636,2019
2, , , ,2,3,5,5,2,11,112,56.33104649,2019
2, , , ,2,3,1,1,4,1,14,1.394161265,2019
2, , , ,2,2,5,1,2,2,22,101.9276186,2019
2, , , ,2,2,3,3,3,1,13,5.526006545,2019
2, , , , ,2,2,2,3,11,113,46.78316975,2019
1,0,0,1,2,2,3,3,4,6,64,4.308182196,2019
2, , , ,2,3,5,3,3,13,133,278.9553621,2019
2, , , ,2,2,3,3,1,10,101,389.5187392,2019
2, , , ,2,2,3,2,2,12,122,132.4093137,2019
2, , , ,2,2,5,5,1,2,21,208.6497762,2019
2, , , ,2,2,3,2,3,2,23,79.00239801,2019
1,0,1,0,2,2,5,5,4,5,54,9.20738084,2019
2, , , ,2,2,3,3,1,13,131,1385.128449,2019
2, , , ,2,2,5,4,1,6,61,2245.318628,2019
2, , , ,2,3,4,4,3,7,73,48.50173187,2019
2, , , ,2,3,4,3,3,1,13,9.160080348,2019
1,1,0,0,2,2,4,3,5,13,135,5.274181435,2019
2, , , ,2,3,4,4,3,4,43,145.5197041,2019
