Q44,Q44A1,Q44A2,Q44A3,Q43,REQ43,Q36,Q45A1,Q45A3,Q45A5,D_SIZE,D_IND,D_INDSIZE,RIM_WT,year
1,0,1,0,1,1,3,4,4,4,1,6,61,26.1352847221017,2021
2, , , ,1,1,2,1,1,1,1,6,61,26.8255747250263,2021
2, , , ,1,1,3,2,2,1,1,6,61,26.8255747250263,2021
2, , , ,1,1,2,3,3,2,1,7,71,25.8475702899996,2021
1,0,1,0,1,1,3,4,5,4,1,6,61,26.456522780358,2021
2, , , ,1,1,3,3,3,3,2,4,42,6.21947025691283,2021
2, , , ,1,1,2,4,3,2,2,4,42,6.21947025691283,2021
2, , , ,1,1,2,3,3,2,1,12,121,23.0093599274697,2021
1,1,0,0,1,1,3,4,4,4,2,5,52,6.62783950075891,2021
1,0,1,0,1,1,2,4,4,4,1,6,61,25.631098664183,2021
1,0,1,0,1,1,3,4,4,4,2,4,42,6.13390610342692,2021
1,0,1,0,1,1,3,5,4,4,2,4,42,6.05942752955876,2021
1,1,0,0,1,1,3,4,4,5,3,2,23,1.69467341629548,2021
1,0,1,0,1,1,3,4,4,4,2,4,42,6.13390610342692,2021
1,0,1,0,1,1,3,4,5,4,2,4,42,6.05942752955876,2021
1,0,1,0,1,1,3,4,5,4,2,4,42,6.13390610342692,2021
1,0,1,0,1,1,3,5,4,4,1,6,61,26.1352847221017,2021
1,0,1,0,1,1,3,4,4,4,1,6,61,26.1352847221017,2021
1,0,1,0,1,1,2,5,4,4,2,4,42,6.05942752955876,2021
1,0,1,0,1,1,3,4,4,4,2,4,42,6.13390610342692,2021
2, , , ,1,1,3,4,4,4,2,4,42,6.05942752955876,2021
1,0,1,0,1,1,3,4,4,3,2,4,42,6.13390610342692,2021
1,0,1,0,1,1,3,4,4,4,1,5,51,32.6175422366451,2021
2, , , ,1,1,2,4,3,3,1,7,71,29.5289319435875,2021
2, , , ,1,1,2,4,4,2,1,5,51,44.7039183432063,2021
2, , , ,1,1,2,4,4,3,1,5,51,44.7039183432063,2021
2, , , ,1,1,2,3,3,3,1,3,31,8.51131740126006,2021
2, , , ,1,1,2,3,3,3,1,3,31,8.51131740126006,2021
1,1,0,0,2,2,2,4,4,4,1,8,81,39.363366759134,2021
1,0,0,1,1,1,2,4,5,4,1,2,21,61.5002469481631,2021
2, , , ,1,1,2,4,3,3,1,4,41,41.9009269952314,2021
2, , , ,1,1,2,4,4,4,2,2,22,10.8385572048988,2021
2, , , ,1,1,2,3,3,4,2,2,22,10.8385572048988,2021
2, , , ,1,1,2,3,4,3,2,2,22,10.8385572048988,2021
2, , , ,1,1,2,3,3,2,2,4,42,8.30473833750856,2021
2, , , ,1,1,2,4,3,3,1,7,71,29.5289319435875,2021
2, , , ,1,1,3,4,3,3,1,5,51,32.6175422366451,2021
2, , , ,1,1,2,4,4,3,1,5,51,32.6175422366451,2021
2, , , ,1,1,3,4,4,4,1,5,51,33.0184560221502,2021
1,0,1,0,1,1,3,4,4,5,1,5,51,32.6175422366451,2021
1,0,1,0,1,1,3,4,4,4,2,4,42,6.13390610342692,2021
2, , , ,1,1,3,4,4,4,2,4,42,6.05942752955876,2021
1,0,1,0,1,1,3,4,4,3,1,5,51,31.9883043992098,2021
1,0,1,0,1,1,2,4,4,4,1,5,51,32.6175422366451,2021
1,0,1,0,1,1,2,4,4,4,1,5,51,32.6175422366451,2021
2, , , ,1,1,3,4,3,4,1,5,51,32.6175422366451,2021
2, , , ,1,1,3,4,4,4,1,5,51,32.6175422366451,2021
1,0,1,0,1,1,2,4,3,3,1,5,51,32.6175422366451,2021
2, , , ,1,1,3,4,4,4,1,5,51,32.6175422366451,2021
2, , , ,1,1,3,4,4,3,1,5,51,43.8196580503902,2021
2, , , ,1,1,2,3,3,3,1,5,51,44.7039183432063,2021
2, , , ,1,1,3,4,3,4,1,5,51,43.8196580503902,2021
2, , , ,1,1,3,4,4,4,1,5,51,32.6175422366451,2021
2, , , ,1,1,2,2,2,2,1,7,71,29.5289319435875,2021
2, , , ,1,1,2,4,4,4,1,5,51,43.8196580503902,2021
1,0,1,0,2,2,3,4,4,4,2,4,42,5.94253272960317,2021
1,0,1,0,3,2,3,5,5,5,3,5,53,2.13034187326703,2021
1,1,0,0,3,2,3,5,5,4,3,5,53,2.13034187326703,2021
1,0,0,1,1,1,3,4,3,4,1,5,51,32.6175422366451,2021
1,0,1,0,1,1,3,4,4,4,1,5,51,43.8196580503902,2021
1,1,0,0,3,2,3,4,4,4,2,5,52,6.11291636179753,2021
1,0,1,0,3,2,3,4,4,4,2,5,52,6.11291636179753,2021
1,0,1,0,2,2,3,4,4,3,2,5,52,8.21232644450022,2021
2, , , ,1,1,3,4,4,4,1,5,51,42.9743157904265,2021
2, , , ,1,1,3,4,4,3,1,6,61,26.1352847221017,2021
1,0,1,0,1,1,1,4,4,4,1,6,61,26.1352847221017,2021
2, , , ,1,1,3,4,4,4,1,6,61,26.1352847221017,2021
2, , , ,1,1,3,4,3,4,1,6,61,26.1352847221017,2021
2, , , ,1,1,3,4,4,3,1,6,61,26.1352847221017,2021
