ai_use_sum,it_org_any,it_org_label,predicted,ci_lower,ci_upper,ai_range_rule,control_firm_size,control_industry,control_region,control_firm_type,control_it_invest_sum
1.08,0,it_org_any = 0,3.981569269641723,3.9361498328807203,4.026988706402726,p5_to_p95,1,2,1,2,3.201425878882242
1.1099999999999999,0,it_org_any = 0,3.980878418820587,3.9353686058762767,4.026388231764897,p5_to_p95,1,2,1,2,3.201425878882242
1.14,0,it_org_any = 0,3.9801875679994505,3.934581410694988,4.025793725303913,p5_to_p95,1,2,1,2,3.201425878882242
1.17,0,it_org_any = 0,3.979496717178314,3.9337882850760573,4.025205149280571,p5_to_p95,1,2,1,2,3.201425878882242
1.2,0,it_org_any = 0,3.978805866357178,3.932989268734397,4.024622463979959,p5_to_p95,1,2,1,2,3.201425878882242
1.23,0,it_org_any = 0,3.978115015536041,3.9321844032875313,4.0240456277845515,p5_to_p95,1,2,1,2,3.201425878882242
1.26,0,it_org_any = 0,3.977424164714905,3.9313737321802145,4.023474597249596,p5_to_p95,1,2,1,2,3.201425878882242
1.29,0,it_org_any = 0,3.9767333138937686,3.9305573006070507,4.0229093271804865,p5_to_p95,1,2,1,2,3.201425878882242
1.3199999999999998,0,it_org_any = 0,3.9760424630726323,3.929735155433425,4.022349770711839,p5_to_p95,1,2,1,2,3.201425878882242
1.3499999999999999,0,it_org_any = 0,3.975351612251496,3.928907345115033,4.021795879387959,p5_to_p95,1,2,1,2,3.201425878882242
1.38,0,it_org_any = 0,3.9746607614303593,3.9280739196163013,4.021247603244417,p5_to_p95,1,2,1,2,3.201425878882242
1.41,0,it_org_any = 0,3.973969910609223,3.927234930327993,4.020704890890453,p5_to_p95,1,2,1,2,3.201425878882242
1.44,0,it_org_any = 0,3.9732790597880867,3.9263904299842656,4.020167689591908,p5_to_p95,1,2,1,2,3.201425878882242
1.47,0,it_org_any = 0,3.9725882089669504,3.9255404725794625,4.019635945354438,p5_to_p95,1,2,1,2,3.201425878882242
1.5,0,it_org_any = 0,3.971897358145814,3.924685113284896,4.019109603006732,p5_to_p95,1,2,1,2,3.201425878882242
1.53,0,it_org_any = 0,3.9712065073246774,3.9238244083658724,4.018588606283482,p5_to_p95,1,2,1,2,3.201425878882242
1.56,0,it_org_any = 0,3.970515656503541,3.9229584150992016,4.018072897907881,p5_to_p95,1,2,1,2,3.201425878882242
1.5899999999999999,0,it_org_any = 0,3.969824805682405,3.9220871916914097,4.0175624196734,p5_to_p95,1,2,1,2,3.201425878882242
1.6199999999999999,0,it_org_any = 0,3.9691339548612685,3.9212107971978822,4.017057112524655,p5_to_p95,1,2,1,2,3.201425878882242
1.65,0,it_org_any = 0,3.9684431040401322,3.9203292914431214,4.0165569166371435,p5_to_p95,1,2,1,2,3.201425878882242
1.68,0,it_org_any = 0,3.9677522532189955,3.919442734942317,4.016061771495674,p5_to_p95,1,2,1,2,3.201425878882242
1.71,0,it_org_any = 0,3.967061402397859,3.9185511888243947,4.015571615971324,p5_to_p95,1,2,1,2,3.201425878882242
1.74,0,it_org_any = 0,3.966370551576723,3.917654714756696,4.0150863883967505,p5_to_p95,1,2,1,2,3.201425878882242
1.77,0,it_org_any = 0,3.9656797007555866,3.9167533748714387,4.0146060266397345,p5_to_p95,1,2,1,2,3.201425878882242
1.7999999999999998,0,it_org_any = 0,3.9649888499344503,3.915847231694082,4.014130468174819,p5_to_p95,1,2,1,2,3.201425878882242
1.8299999999999998,0,it_org_any = 0,3.9642979991133136,3.9149363480737023,4.013659650152925,p5_to_p95,1,2,1,2,3.201425878882242
1.8599999999999999,0,it_org_any = 0,3.9636071482921773,3.9140207871154935,4.013193509468861,p5_to_p95,1,2,1,2,3.201425878882242
1.89,0,it_org_any = 0,3.962916297471041,3.9131006121154557,4.012731982826626,p5_to_p95,1,2,1,2,3.201425878882242
1.92,0,it_org_any = 0,3.9622254466499047,3.9121758864973644,4.012275006802445,p5_to_p95,1,2,1,2,3.201425878882242
1.95,0,it_org_any = 0,3.9615345958287684,3.9112466737520633,4.011822517905474,p5_to_p95,1,2,1,2,3.201425878882242
1.98,0,it_org_any = 0,3.9608437450076317,3.9103130373791335,4.01137445263613,p5_to_p95,1,2,1,2,3.201425878882242
2.01,0,it_org_any = 0,3.9601528941864954,3.909375040830975,4.010930747542016,p5_to_p95,1,2,1,2,3.201425878882242
2.04,0,it_org_any = 0,3.959462043365359,3.908432747459315,4.010491339271404,p5_to_p95,1,2,1,2,3.201425878882242
2.07,0,it_org_any = 0,3.958771192544223,3.9074862204641634,4.010056164624283,p5_to_p95,1,2,1,2,3.201425878882242
2.1,0,it_org_any = 0,3.9580803417230865,3.9065355228452177,4.009625160600955,p5_to_p95,1,2,1,2,3.201425878882242
2.13,0,it_org_any = 0,3.95738949090195,3.905580717355705,4.0091982644481945,p5_to_p95,1,2,1,2,3.201425878882242
2.16,0,it_org_any = 0,3.9566986400808135,3.904621866458653,4.008775413702974,p5_to_p95,1,2,1,2,3.201425878882242
2.19,0,it_org_any = 0,3.956007789259677,3.9036590322855576,4.008356546233797,p5_to_p95,1,2,1,2,3.201425878882242
2.2199999999999998,0,it_org_any = 0,3.955316938438541,3.902692276597432,4.00794160027965,p5_to_p95,1,2,1,2,3.201425878882242
2.25,0,it_org_any = 0,3.9546260876174046,3.901721660748185,4.007530514486625,p5_to_p95,1,2,1,2,3.201425878882242
