2024 기업정보화통계조사_value labels,,,,
변수명,변수설명,,변수값,
,,15.00,"예술, 스포츠 및 여가관련 서비스업",
,,16.00,수리 및 기타 개인 서비스업,
D_INDSIZE,업종 BY 규모,11.00,농림수산업(광업포함)-10-49명,
,,12.00,농림수산업(광업포함)-50-249명,
,,13.00,농림수산업(광업포함)-250~999명,
,,14.00,농림수산업(광업포함)-1000명 이상,
,,21.00,제조업-10-49명,
,,22.00,제조업-50-249명,
,,23.00,제조업-250~999명,
,,24.00,제조업-1000명 이상,
,,31.00,전기 등 공기조절 공급업/수도 등 원료 재생업-10-49명,
,,32.00,전기 등 공기조절 공급업/수도 등 원료 재생업-50-249명,
,,33.00,전기 등 공기조절 공급업/수도 등 원료 재생업-250~999명,
,,34.00,전기 등 공기조절 공급업/수도 등 원료 재생업-1000명 이상,
,,41.00,건설업-10-49명,
,,42.00,건설업-50-249명,
,,43.00,건설업-250~999명,
,,44.00,건설업-1000명 이상,
,,51.00,도매 및 소매업-10-49명,
,,52.00,도매 및 소매업-50-249명,
,,53.00,도매 및 소매업-250~999명,
,,54.00,도매 및 소매업-1000명 이상,
,,61.00,운수 및 창고업-10-49명,
,,62.00,운수 및 창고업-50-249명,
,,63.00,운수 및 창고업-250~999명,
,,64.00,운수 및 창고업-1000명 이상,
,,71.00,숙박 및 음식점업-10-49명,
,,72.00,숙박 및 음식점업-50-249명,
,,73.00,숙박 및 음식점업-250~999명,
,,74.00,숙박 및 음식점업-1000명 이상,
,,81.00,정보통신업-10-49명,
,,82.00,정보통신업-50-249명,
,,83.00,정보통신업-250~999명,
,,84.00,정보통신업-1000명 이상,
,,91.00,금융 및 보험업-10-49명,
,,92.00,금융 및 보험업-50-249명,
,,93.00,금융 및 보험업-250~999명,
,,94.00,금융 및 보험업-1000명 이상,
,,101.00,부동산업-10-49명,
,,102.00,부동산업-50-249명,
,,103.00,부동산업-250~999명,
,,104.00,부동산업-1000명 이상,
,,111.00,"전문, 과학 및 기술서비스업-10-49명",
,,112.00,"전문, 과학 및 기술서비스업-50-249명",
,,113.00,"전문, 과학 및 기술서비스업-250~999명",
,,114.00,"전문, 과학 및 기술서비스업-1000명 이상",
,,121.00,"사업시설관리, 사업지원 및 서비스업-10-49명",
,,122.00,"사업시설관리, 사업지원 및 서비스업-50-249명",
,,123.00,"사업시설관리, 사업지원 및 서비스업-250~999명",
,,124.00,"사업시설관리, 사업지원 및 서비스업-1000명 이상",
,,131.00,교육 서비스업-10-49명,
,,132.00,교육 서비스업-50-249명,
,,133.00,교육 서비스업-250~999명,
,,134.00,교육 서비스업-1000명 이상,
,,141.00,보건업 및 사회복지서비스업-10-49명,
,,142.00,보건업 및 사회복지서비스업-50-249명,
,,143.00,보건업 및 사회복지서비스업-250~999명,
,,144.00,보건업 및 사회복지서비스업-1000명 이상,
,,151.00,"예술, 스포츠 및 여가관련 서비스업-10-49명",
,,152.00,"예술, 스포츠 및 여가관련 서비스업-50-249명",
,,153.00,"예술, 스포츠 및 여가관련 서비스업-250~999명",
,,154.00,"예술, 스포츠 및 여가관련 서비스업-1000명 이상",
,,161.00,수리 및 기타 개인 서비스업-10-49명,
,,162.00,수리 및 기타 개인 서비스업-50-249명,
,,163.00,수리 및 기타 개인 서비스업-250~999명,
,,164.00,수리 및 기타 개인 서비스업-1000명 이상,
D_SIZE,규모,1.00,10-49명,
,,2.00,50-249명,
,,3.00,250~999명,
,,4.00,1000명 이상,
D_TYPE,조직형태별,1.00,개인사업체,
,,2.00,회사법인,
